"","spec_ID","phylo_ID","habit","phylo_ID2"
"cuneata02","cune","cuneata02","byssal","L.cuneata"
"wilhelminae","wilh","wilhelminae","byssal","L.willhelminae"
"squamosa","squas","squamosa","byssal","L.squamosa"
"lemniscata03","lemn","lemniscata03","byssal","L.lemniscata"
"ornata01","orna","ornata01","byssal","C.ornata"
"sp05","sent","sp05","byssal","C.sentis"
"benedicti","bene","benedicti","byssal","S.benedicti"
"townsendi","town","townsendi","byssal","M.townsendi"
"weberi01","webe","weberi01","byssal","L.weberi"
"fulvicostatum","fulv","fulvicostatum","byssal","S.fulvicostatum"
"dringi","drin","dringi","byssal","S.dringi"
"dianae","dian","dianae","byssal","S.dianae"
"bifrons","bifr","bifrons","free","E.bifrons"
"cloacata","cloa","cloacata","byssal","M.cloacata"
"coruscans","coruc","coruscans","byssal","P.coruscans"
"spondyloideum","spon","spondyloideum","nestle","P.spondyloideum"
"farreri","farr","farreri","byssal","A.farreri"
"nipponensis","nipp","nipponensis","byssal","A.nipponensis"
"livida05","livi","livida05","byssal","S.livida"
"squamata","squat","squamata","byssal","S.squamata"
"gigantea","giga","gigantea","cement","C.gigantea"
"behringiana","behr","behringiana","byssal","C.behringiana"
"rubida","rubid","rubida","byssal","C.rubida"
"islandica","isla","islandica","byssal","C.islandica"
"hastata","hast","hastata","byssal","C.hastata"
"caurinus","caur","caurinus","recess","P.caurinus"
"yessoensis","yess","yessoensis","recess","M.yessoensis"
"swiftii","swif","swiftii","byssal","S.swiftii"
"pusio","puso","pusio","cement","T.pusio"
"multistriata01","mstr","multistriata01","byssal","T.multistriata"
"varia","varv","varia","byssal","M.varia"
"asperrima","aspe","asperrima","byssal","M.asperrima"
"sanguinea01","sang","sanguinea01","byssal","M.sanguinea"
"crassicostata","cras","crassicostata","byssal","M.crassicostata"
"madreporarum02","madr","madreporarum02","byssal","C.madreporarum"
"gladysiae","glad","gladysiae","byssal","L.gladysiae"
"patagonica","pata","patagonica","byssal","Z.patagonica"
"amandi","aman","amandi","byssal","Z.amandi"
"gemmulata","gemm","gemmulata","byssal","T.gemmulata"
"dichroa","dich","dichroa","byssal","T.dichroa"
"delicatula","delit","delicatula","byssal","Z.delicatula"
"jousseaumei","jous","jousseaumei","byssal","V.jousseaumei"
"gibbus","gibb","gibbus","free","A.gibbus"
"nucleus","nucl","nucleus","free","A.nucleus"
"irradians","irri","irradians","free","A.irradians"
"ventricosus","vent","ventricosus","free","A.ventricosus"
"purpuratus","purp","purpuratus","free","A.purpuratus"
"opercularis","oper","opercularis","free","A.opercularis"
"bavayi","bavl","bavayi","byssal","P.bavayi"
"latiauratus","lati","latiauratus","byssal","L.latiauratus"
"vesiculosus","vesi","vesiculosus","byssal","C.vesiculosus"
"bullatus","bull","bullatus","byssal","C.bullatus"
"glyptus","glyp","glyptus","free","A.glyptus"
"raveneli","rave","raveneli","recess","E.raveneli"
"ziczac","zicz","ziczac","recess","E.ziczac"
"papyraceum","laur","papyraceum","glide","A.papyraceum"
"vogdesi","vogd","vogdesi","recess","E.vogdesi"
"perula","peru","perula","recess","E.perula"
"chazaliei","chaz","chazaliei","recess","E.chazaliei"
"fumatus","fuma","fumatus","recess","P.fumatus"
"novaezelandiae","nova","novaezelandiae","recess","P.novaezelandiae"
"maximus","maxi","maximus","recess","P.maximus"
"jacobaeus","jaco","jacobaeus","recess","P.jacobaeus"
"pleuronectes","pleu","pleuronectes","glide","A.pleuronectes"
"subnodosus","subn","subnodosus","free","N.subnodosus"
"wardiana","ward","wardiana","byssal","S.wardiana"
"strangei01","stra","strangei01","free","D.strangei"
"radula","radr","radula","free","D.radula"
"plica","plic","plica","free","D.plica"
"vexillum","vexi","vexillum","free","B.vexillum"
"picturatus","pict","picturatus","free","A.picturatus"
"obliteratum","obli","obliteratum","glide","D.obliteratum"
"mirificus","miri","mirificus","byssal","M.mirificus"
"moluccensis","molu","moluccensis","byssal","M.moluccensis"
"pallium","palli","pallium","byssal","G.pallium"
"speciosum","specm","speciosum","byssal","G.speciosum"
"spectabilis","specs","spectabilis","byssal","E.spectabilis"
"japonicum","japj","japonicum","glide","A.japonicum"
"balloti","ball","balloti","glide","A.balloti"
"flabellata","flaba","flabellata","free","A.flabellata"
"kuhnholtzi","kuhn","kuhnholtzi","free","A.kuhnholtzi"
"antillarum","anti","antillarum","byssal","A.antillarum"
"nux","nux","nux","byssal","C.nux"
"colbecki","colb","colbecki","glide","A.colbecki"
"coudeini","coud","coudeini","byssal","J.coudeini"
"gloriosa","glor","gloriosa","byssal","F.glaber"
"clavatum","clav","clavatum","free","P.clavatum"
"septemradiatus","sept","septemradiatus","free","P.septemradiatus"
"tigerinum","tiger","tigerinum","byssal","P.tigerinum"
"magellanicus","mage","magellanicus","glide","P.magellanicus"
"convexum","conv","convexum","free","M.convexum "
"randolphi","rand","randolphi","byssal","D.randolphi"
"vancouverensis","vanc","vancouverensis","byssal","D.vancouverensis"
